,ParentLocationCode,ParentLocation,SpatialDimValueCode,Location,Year,Gender,Value,arg,cpi,edu,employ,exchange,gdp,green,income,pop,tax,LifeLadder,LogGDPPerCapita,SocialSupport,Expectancy,Freedom,Generosity,Corruption,PositiveAffect,NegativeAffect,Africa,Americas,Eastern Mediterranean,Europe,South-East Asia,Western Pacific,YearInd,cbrt_cpi,cbrt_exchange,cbrt_gdp,cbrt_green,cbrt_income,cbrt_pop
0,AFR,Africa,SWZ,Eswatini,2018,Both sexes,10.7,71.04651163,162.5975556,0.5088011824990611,0.4798377350272638,13.23392647,4105.897212,3120.0,3216.864312,0.0008085373716007334,0.46012659624152197,0.5470459863636651,0.5699102607792546,0.6871076674470159,0.6119998355482923,0.6910537678326574,0.005648514851485148,0.7271580756013746,0.5652800140887589,0.3536999275576185,1.0,0.0,0.0,0.0,0.0,0.0,19,5.4580562121076355,2.3653545034875516,16.012876629038203,14.612287148125606,0.24247767918499055,104.35045725551348
1,AMR,Americas,BHS,Bahamas,2018,Both sexes,10.9,41.64069706891348,127.72994692466757,0.5088011824990611,0.4798377350272638,537.2851242258524,15990.790316933331,262005.75063613232,12664.677869724934,0.03358346136685561,0.46012659624152197,0.5470459863636651,0.5699102607792546,0.6871076674470159,0.6119998355482923,0.6910537678326574,0.005648514851485148,0.7271580756013746,0.5652800140887589,0.3536999275576185,0.0,1.0,0.0,0.0,0.0,0.0,19,5.0035644879782,4.668049953214195,21.012194400473785,41.95430634260418,0.36919321933494065,245.1382267605977
2,AMR,Americas,JAM,Jamaica,2018,Both sexes,11.0,40.99722992,156.38456330000002,0.4471455135435871,0.49285088999124604,128.8715191,5359.993789,10020.0,4748.05576,0.0020999522063229214,0.7652115997585706,0.5470459863636651,0.5699102607792546,0.6871076674470159,0.6119998355482923,0.6910537678326574,0.005648514851485148,0.7271580756013746,0.5652800140887589,0.3536999275576185,0.0,1.0,0.0,0.0,0.0,0.0,19,5.387632456588765,5.0510963093812284,17.500673485917357,21.558700233612115,0.2969619723268335,143.17332724715632
3,AFR,Africa,TCD,Chad,2018,Both sexes,11.8,39.89675985,118.8533874,0.026790593594427772,0.5077327108257952,555.4464584,726.1510071,80680.0,525.8321755,0.011105980606327163,0.46012659624152197,0.3460046547711405,0.1453093812375248,0.25858951175406897,0.09608091024020249,0.5080763582966226,0.024,0.763,0.2523900573613763,0.9036885245901638,1.0,0.0,0.0,0.0,0.0,0.0,19,4.916663901074125,8.220168765762457,8.988260443018781,43.21043415086253,0.06427672226196193,249.21206323158844
4,AFR,Africa,KEN,Kenya,2018,Both sexes,11.8,48.54693046,180.5148122,0.5088011824990611,0.4798377350272638,101.301574,1708.001428,78830.0,1414.022197,0.03689353902712399,0.42883686836371143,0.3789759503491079,0.3411177644710577,0.49367088607594967,0.472187104930468,0.7591776798825256,0.29100000000000004,0.8440000000000001,0.6462715105162523,0.27459016393442615,1.0,0.0,0.0,0.0,0.0,0.0,19,5.651593903297108,4.661639994523633,11.95352726533669,42.877603986376926,0.14824812767896425,371.79206111191655
5,AFR,Africa,MLI,Mali,2018,Both sexes,12.0,33.76605283,110.5594506,0.1677499125748842,0.5586518821126351,555.4464584,894.8047765000001,43740.0,771.6923172999999,0.013690870991801055,0.48795644656069914,0.3324282389449186,0.2191616766467066,0.4665461121157325,0.20670037926675122,0.6358296622613804,-0.034,0.7929999999999999,0.6673040152963671,0.5471311475409835,1.0,0.0,0.0,0.0,0.0,0.0,19,4.799529042334611,8.220168765762457,9.63628045474844,35.23380877051977,0.09360050541748918,267.2036722083074
6,AMR,Americas,GUY,Guyana,2018,Both sexes,12.2,6.356362712999999,113.8158754,0.5088011824990611,0.322439451415232,207.7166667,6145.818743,5040.0,5835.444919,0.0005520126908629443,0.46012659624152197,0.5470459863636651,0.5699102607792546,0.6871076674470159,0.6119998355482923,0.6910537678326574,0.005648514851485148,0.7271580756013746,0.5652800140887589,0.3536999275576185,0.0,1.0,0.0,0.0,0.0,0.0,19,4.846195697410407,5.9223006137318635,18.31723494302154,17.145237764626792,0.32881597635570725,92.01256129682707
7,EUR,Europe,UZB,Uzbekistan,2018,Both sexes,12.3,58.05790423,127.72994692466757,0.5331376358609589,0.626933177706449,8069.606237000001,1529.082864,235510.0,1220.23863,0.023655793641510915,0.6778596591648185,0.6794026377036463,0.4357285429141715,0.8806509945750453,0.6302149178255374,0.9779735682819382,0.318,0.52,0.7724665391969404,0.2172131147540983,0.0,0.0,0.0,1.0,0.0,0.0,19,5.0035644879782,20.05783777585139,11.52065064322819,61.7546669914278,0.1339154737295182,320.6111367939257
8,AFR,Africa,BDI,Burundi,2018,Both sexes,12.6,79.16666667,183.37168569999997,0.21811350194289525,0.4798377350272638,1782.876875,271.7524964,5520.0,203.6413233,0.00801681074982526,0.46012659624152197,0.20810705973622956,0.0,0.0922242314647378,0.2604298356510748,0.5022026431718061,-0.024,0.599,0.46845124282982764,0.5327868852459016,1.0,0.0,0.0,0.0,0.0,0.0,19,5.681252510311161,12.125708322952132,6.477257771898801,17.673111844807224,0.005997667146439678,223.5737202738431
9,AMR,Americas,SLV,El Salvador,2018,Both sexes,12.7,71.38610039,111.14463359999999,0.3751870931822328,0.4814706740589437,1.0,4052.624775,12350.0,3257.585677,0.004602887125481448,0.49166186912218035,0.6863847944142748,0.4842315369261476,0.6980108499095842,0.6618204804045513,0.8208516886930983,-0.095,0.8009999999999999,0.8393881453154873,0.3422131147540983,0.0,1.0,0.0,0.0,0.0,0.0,19,4.807981997029313,1.0,15.943321299839086,23.114738568790873,0.24412977901373104,185.86389240969424
10,AFR,Africa,MWI,Malawi,2018,Both sexes,12.8,59.92787442,382.5008024,0.16270174644452784,0.4798377350272638,732.3333332999999,535.3513456999999,18320.0,330.24642850000004,0.013019853027262787,0.3071649652118693,0.12276958882854927,0.06267465069860267,0.16998191681735997,0.3931731984829332,0.7268722466960353,0.073,0.7659999999999999,0.3154875717017206,0.5368852459016392,1.0,0.0,0.0,0.0,0.0,0.0,19,7.259010927547266,9.013696566421494,8.119818086329598,26.36180580378832,0.033400204961664876,262.7673587414804
11,AMR,Americas,PRY,Paraguay,2018,Both sexes,12.8,54.91819784,139.96214840000002,0.5088011824990611,0.626933177706449,5732.104556,5782.78455,49170.0,5272.647765,0.004987263798431035,0.32698870620707376,0.5470459863636651,0.5699102607792546,0.6871076674470159,0.6119998355482923,0.6910537678326574,0.005648514851485148,0.7271580756013746,0.5652800140887589,0.3536999275576185,0.0,1.0,0.0,0.0,0.0,0.0,19,5.1920260972665035,17.896634466036172,17.94922372064146,36.63532675598533,0.3128763456862057,190.89210210260322
12,AFR,Africa,CIV,Côte d’Ivoire,2018,Both sexes,13.0,41.64069706891348,127.72994692466757,0.5088011824990611,0.4798377350272638,537.2851242258524,15990.790316933331,262005.75063613232,12664.677869724934,0.03358346136685561,0.46012659624152197,0.5470459863636651,0.5699102607792546,0.6871076674470159,0.6119998355482923,0.6910537678326574,0.005648514851485148,0.7271580756013746,0.5652800140887589,0.3536999275576185,1.0,0.0,0.0,0.0,0.0,0.0,19,5.0035644879782,4.668049953214195,21.012194400473785,41.95430634260418,0.36919321933494065,245.1382267605977
